HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
01 16    0.104    0.109    0.154  999.000    0.122    0.147    0.097    0.064    0.090    0.285    0.138    0.183   5
01 17    0.153    0.104    0.093  999.000    0.157    0.230    0.176    0.067    0.137    0.445    0.162    0.325   5
01 18    0.116    0.098    0.133  999.000    0.096    0.129    0.128    0.093    0.136    0.337    0.132    0.205   5
01 19    0.075    0.075    0.130  999.000    0.062    0.077    0.066    0.077    0.092    0.158    0.065    0.091   5
01 20    0.077    0.051    0.101  999.000    0.102    0.089    0.068    0.049    0.079    0.124    0.043    0.131   5
01 21    0.085    0.033    0.130  999.000    0.106    0.113    0.099    0.060    0.048    0.151    0.045    0.236   5
01 22    0.060    0.060    0.122  999.000    0.075    0.054    0.055    0.075    0.043    0.151    0.054    0.180   5
01 23    0.065    0.113    0.159  999.000    0.062    0.099    0.058    0.065    0.040    0.175    0.065    0.221   5
01 24    0.085    0.139    0.236  999.000    0.089    0.120    0.080    0.071    0.064    0.185    0.091    0.452   5
01 25    0.084    0.078    0.201  999.000    0.123    0.101    0.070    0.062    0.064    0.104    0.077    0.319   5
01 26    0.060    0.076    0.193  999.000    0.091    0.073    0.063    0.046    0.028    0.102    0.049    0.196   5
01 27    0.069    0.096    0.181  999.000    0.076    0.104    0.074    0.060    0.029    0.092    0.060    0.235   5
01 28    0.071    0.140    0.147  999.000    0.090    0.105    0.084    0.050    0.023    0.098    0.067    0.382   5
01 29    0.057    0.089    0.115  999.000    0.060    0.075    0.064    0.044    0.040    0.119    0.042    0.265   5
01 30    0.048    0.109    0.239  999.000    0.049    0.058    0.051    0.051    0.030    0.079    0.034    0.364   5
01 31    0.061    0.086    0.217  999.000    0.089    0.088    0.059    0.040    0.027    0.087    0.054    0.408   5
01 32    0.084    0.213    0.287  999.000    0.118    0.114    0.096    0.060    0.029    0.129    0.076    0.251   5
